X,Y,a,b,c,y0,psi_0
0,0,185.2218117082,-0.0051651232,-2.6177723855,-19.7771390058,1.2037
0.0074211081,0.0193018077,123.4328459545,-0.0098961886,2.5591927803,,
0.0080810323,0.0210180819,19.3399920799,-0.0341821811,2.001815596,,
0.0089217051,0.0232043972,7.9164604283,-0.0445276939,1.8052939979,,
0.009950389,0.0258796157,20.5870456641,-0.0254395043,1.3395893257,,
0.0111782468,0.0290727351,14.8157021237,-0.0226083922,3.1041254793,,
0.012620684,0.0328237768,5.3538174185,-0.0537719627,-2.3349502606,,
0.0142949505,0.0371775462,2.5473327772,-0.0695213391,1.4608436947,,
0.0162192064,0.0421812013,,,,,
0.0184125683,0.0478843691,,,,,
0.0208951643,0.0543392865,,,,,
0.023688277,0.0616011683,,,,,
0.0268149539,0.0697297889,,,,,
0.0303080236,0.0788103164,,,,,
0.0342319635,0.0890101365,,,,,
0.0386899968,0.1005972544,,,,,
0.0438082907,0.1138991603,,,,,
0.0497025427,0.1292159358,,,,,
0.0564584619,0.146769513,,,,,
0.0641508973,0.1667533745,,,,,
0.0728588406,0.1893715003,,,,,
0.082664268,0.2148353101,,,,,
0.0936570965,0.2433764763,,,,,
0.1060071501,0.2754336247,,,,,
0.1200164565,0.3117876641,,,,,
0.1361201871,0.3535635204,,,,,
0.1548270674,0.4020746677,,,,,
0.1766682741,0.4586897076,,,,,
0.2022260198,0.5249054555,,,,,
0.2320882964,0.6022283866,,,,,
0.2667957907,0.692035989,,,,,
0.3068966654,0.7957173675,,,,,
0.3530156574,0.9148500209,,,,,
0.4057991058,1.0510552353,,,,,
0.4657671747,1.2056148857,,,,,
0.5334329643,1.3797776021,,,,,
0.6093443323,1.5748641064,,,,,
0.6939744104,1.7919834413,,,,,
0.7877171802,2.0320208939,,,,,
0.8908985045,2.2956659317,,,,,
1.0037881581,2.5834427735,,,,,
1.1266126366,2.8957429116,,,,,
1.2595664397,3.2328536056,,,,,
1.4028211285,3.5949805359,,,,,
1.5565320104,3.9822642598,,,,,
1.7208425939,4.3947908741,,,,,
1.8958873127,4.8325982118,,,,,
2.081792969,5.2956787606,,,,,
2.2786781256,5.7839774692,,,,,
2.48665311,6.2973911514,,,,,
2.7058216778,6.8357720168,,,,,
2.9362819091,7.3989292671,,,,,
3.178126124,7.9866282922,,,,,
3.4314319253,8.5985685582,,,,,
3.696337673,9.2345644302,,,,,
3.9730167164,9.8944782183,,,,,
4.2615743593,10.5779727744,,,,,
4.5620449812,11.2845091982,,,,,
4.8744225193,12.0134231872,,,,,
5.1987064998,12.7640345722,,,,,
5.5349054647,13.5356544981,,,,,
5.8829438766,14.3273735905,,,,,
6.2425447972,15.1378077358,,,,,
6.613673977,15.9661072883,,,,,
6.9964247834,16.8116784561,,,,,
7.3908968285,17.6739046757,,,,,
7.797166952,18.5520829622,,,,,
8.215288552,19.4454248862,,,,,
8.6452968418,20.3530704322,,,,,
9.0872207515,21.2741151356,,,,,
9.5411822708,22.2078141798,,,,,
10.007516278,23.1538108958,,,,,
10.4867029257,24.1119710401,,,,,
10.9793851293,25.0823931313,,,,,
11.4864156198,26.0654705494,,,,,
12.0088692831,27.061876701,,,,,
12.5480012491,28.0724438364,,,,,
13.1051776251,29.0979969859,,,,,
13.6818199035,30.13922383,,,,,
14.2793082278,31.1964825148,,,,,
14.8989123539,32.2696777454,,,,,
15.5416939972,33.3581061251,,,,,
16.2085556059,34.4605670236,,,,,
16.9002555996,35.5754127168,,,,,
17.6173061931,36.7004171721,,,,,
18.3600205432,37.8329008435,,,,,
19.1286031119,38.9699116397,,,,,
19.9232204925,40.1083579355,,,,,
20.7439682306,41.2449828539,,,,,
21.5908343338,42.3763460818,,,,,
22.463670643,43.4988290746,,,,,
23.3622452553,44.6087497836,,,,,
24.2862540063,45.7024161843,,,,,
25.2353216325,46.7761661855,,,,,
26.2090179955,47.8264238213,,,,,
27.2068875344,48.8497637512,,,,,
28.2284342659,49.8429239737,,,,,
29.2730802883,50.8027988851,,,,,
30.3401834319,51.7264939885,,,,,
31.4289717701,52.6113077501,,,,,
32.5385080297,53.4547534894,,,,,
33.6677422696,54.2546488063,,,,,
34.8155653727,55.0091844001,,,,,
35.9808179956,55.7169456798,,,,,
37.1623092047,56.376931925,,,,,
38.3588537816,56.9885742301,,,,,
39.5693015527,57.5517350517,,,,,
40.7925409882,58.0666861272,,,,,
42.0275066654,58.5340843168,,,,,
43.2731974758,58.9549471303,,,,,
44.5286881537,59.3306210561,,,,,
45.7931083161,59.6627393639,,,,,
47.0655881781,59.9531778558,,,,,
48.3452826344,60.2040355401,,,,,
49.6313747741,60.417607225,,,,,
50.923075517,60.596355417,,,,,
52.2196349304,60.7428842402,,,,,
53.5203615722,60.8599135556,,,,,
54.8246296072,60.9502517605,,,,,
56.1318752216,61.0167699341,,,,,
57.4415705906,61.0623785944,,,,,
58.7532462668,61.0900099959,,,,,
60.0665374484,61.1026011249,,,,,
61.3810989129,61.1030776271,,,,,
62.6965949023,61.0943442386,,,,,
64.0127180327,61.0792763379,,,,,
65.3292025119,61.0607122848,,,,,
66.6457992149,61.0414477529,,,,,
67.9622674015,61.0242311997,,,,,
69.2783486863,61.0117600638,,,,,
70.5938323651,61.0066763799,,,,,
71.9085600558,61.0115648884,,,,,
73.2223825387,61.0289520041,,,,,
74.5351553888,61.061304243,,,,,
75.8467243462,61.111025939,,,,,
77.1569176244,61.1804559161,,,,,
78.4655613592,61.271864656,,,,,
79.7724819536,61.3874512399,,,,,
81.0774736582,61.5293360744,,,,,
82.3803098795,61.6995550874,,,,,
83.6807765347,61.9000581424,,,,,
84.9786756675,62.1327061179,,,,,
86.2738208775,62.3992667854,,,,,
87.5660408009,62.7014119833,,,,,
88.8551826717,63.0407154391,,,,,
90.1411124458,63.4186502843,,,,,
91.4236980029,63.836580977,,,,,
92.702741789,64.2957330159,,,,,
93.9779253904,64.7971534487,,,,,
95.2488270931,65.3416910983,,,,,
96.5149424979,65.9299806892,,,,,
97.7757101843,66.562433509,,,,,
99.030425332,67.2391713453,,,,,
100.2782813213,67.9600174891,,,,,
101.5184133921,68.7244992697,,,,,
102.7498682708,69.5318123263,,,,,
103.9716517504,70.3808355517,,,,,
105.1827278476,71.2701232974,,,,,
106.3820330504,72.1979122824,,,,,
107.5684879376,73.1621328053,,,,,
108.7409753572,74.1603967672,,,,,
109.8983786973,75.1900385099,,,,,
111.0395747113,76.2481245428,,,,,
112.1635020215,77.3315388243,,,,,
113.2691760801,78.4370307131,,,,,
114.3556558823,79.561216441,,,,,
115.4219951154,80.7005573955,,,,,
116.4672182816,81.8513572476,,,,,
117.4903412603,83.0098064553,,,,,
118.4903135083,84.1719390449,,,,,
119.4660420157,85.3336783409,,,,,
120.4164046371,86.4908744042,,,,,
121.3402901427,87.6393771418,,,,,
122.2366255337,88.7750981849,,,,,
123.1043596995,89.8940177304,,,,,
123.9424746371,90.9922230144,,,,,
124.7500038672,92.0659549942,,,,,
125.5260404277,93.1116396616,,,,,
126.2697025073,94.1258583724,,,,,
126.9801055375,95.1053204002,,,,,
127.6564307414,96.0469652436,,,,,
128.2979384551,96.9479894635,,,,,
128.9039300269,97.8057977931,,,,,
129.4736892497,98.6179194401,,,,,
130.006497795,99.3820255127,,,,,
130.5017945131,100.0961538376,,,,,
130.959289175,100.7588724396,,,,,
131.3790669523,101.3694302915,,,,,
131.7616628344,101.9278635037,,,,,
132.1080041892,102.4349063362,,,,,
132.4195561849,102.8921958968,,,,,
132.6984359293,103.3024317813,,,,,
132.9473345983,103.6692525329,,,,,
133.1695400415,103.9972581946,,,,,
133.3687791273,104.2917666076,,,,,
133.5488749415,104.558294741,,,,,
133.7134989183,104.8021795207,,,,,
133.8660951098,105.0284547876,,,,,
134.0098919324,105.2418603149,,,,,
134.147768026,105.4466363674,,,,,
134.2820398751,105.646202749,,,,,
134.4146810352,105.8434800311,,,,,
134.5474162489,106.0410267728,,,,,
134.6817799149,106.2411247021,,,,,
134.8191581794,106.4458401197,,,,,
134.960813519,106.6570595954,,,,,
135.1079159494,106.8765357752,,,,,
135.2615106408,107.1058384186,,,,,
135.4225887452,107.346459466,,,,,
135.5921018856,107.5998341996,,,,,
135.7709297426,107.8672922248,,,,,
135.9598652643,108.1500345426,,,,,
136.1597071151,108.4492710266,,,,,
136.3713391539,108.7663387696,,,,,
136.5957333154,109.1027057322,,,,,
136.8339374754,109.4599515457,,,,,
137.0870125186,109.8396716016,,,,,
137.3560195794,110.2434557231,,,,,
137.6421481667,110.6730778019,,,,,
137.946695863,111.130462065,,,,,
138.2709961497,111.6175703017,,,,,
138.6164003135,112.1363690299,,,,,
138.9842901258,112.6888415255,,,,,
139.3760607829,113.2769535893,,,,,
139.793058599,113.9025496552,,,,,
140.2365364074,114.5672738718,,,,,
140.7076767705,115.2725912146,,,,,
141.2075693807,116.0197380829,,,,,
141.7372154824,116.809711633,,,,,
142.2974730018,117.6431691737,,,,,
142.8890245837,118.5203614727,,,,,
143.5123871027,119.4411277076,,,,,
144.1679556037,120.4049408138,,,,,
144.8560461837,121.4109498481,,,,,
145.5768124291,122.4578374251,,,,,
146.3302780976,123.543850359,,,,,
147.1165272717,124.6670546408,,,,,
147.9356262146,125.8251986964,,,,,
148.7875478928,127.0155870376,,,,,
149.6721361601,128.2350182564,,,,,
150.5890783164,129.4797433316,,,,,
151.5379241211,130.7454959673,,,,,
