 1000 3
 -23.8 21.15 0.5
 -23.757 21.1433 0.5
 -23.7322 21.1404 0.5
 -23.7101 21.1522 0.5
 -23.6877 21.1634 0.5
 -23.6654 21.1746 0.5
 -23.6429 21.1856 0.5
 -23.6205 21.1967 0.5
 -23.5984 21.2084 0.5
 -23.5764 21.2201 0.5
 -23.5543 21.2319 0.5
 -23.5322 21.2436 0.5
 -23.5104 21.2557 0.5
 -23.4887 21.2682 0.5
 -23.4669 21.2804 0.5
 -23.4446 21.2918 0.5
 -23.4231 21.3044 0.5
 -23.4012 21.3165 0.5
 -23.3789 21.3278 0.5
 -23.3564 21.3388 0.5
 -23.3342 21.3502 0.5
 -23.3119 21.3616 0.5
 -23.2895 21.3727 0.5
 -23.2671 21.3837 0.5
 -23.2446 21.3946 0.5
 -23.2223 21.4059 0.5
 -23.1999 21.417 0.5
 -23.1775 21.4281 0.5
 -23.1551 21.4393 0.5
 -23.1328 21.4506 0.5
 -23.1105 21.4618 0.5
 -23.0881 21.473 0.5
 -23.0658 21.4842 0.5
 -23.0434 21.4954 0.5
 -23.0211 21.5067 0.5
 -22.9988 21.518 0.5
 -22.9765 21.5293 0.5
 -22.9542 21.5406 0.5
 -22.9319 21.552 0.5
 -22.9097 21.5633 0.5
 -22.8875 21.5748 0.5
 -22.8652 21.5862 0.5
 -22.8429 21.5975 0.5
 -22.8207 21.6089 0.5
 -22.7986 21.6207 0.5
 -22.7765 21.6322 0.5
 -22.7541 21.6435 0.5
 -22.7322 21.6555 0.5
 -22.71 21.6669 0.5
 -22.6873 21.6774 0.5
 -22.6644 21.6876 0.5
 -22.6415 21.6975 0.5
 -22.6187 21.7078 0.5
 -22.5959 21.718 0.5
 -22.573 21.728 0.5
 -22.55 21.7379 0.5
 -22.527 21.7478 0.5
 -22.5042 21.7579 0.5
 -22.4813 21.7679 0.5
 -22.4584 21.7779 0.5
 -22.4354 21.7878 0.5
 -22.4125 21.7977 0.5
 -22.3896 21.8078 0.5
 -22.3667 21.8178 0.5
 -22.3437 21.8278 0.5
 -22.3208 21.8377 0.5
 -22.2979 21.8476 0.5
 -22.275 21.8577 0.5
 -22.2521 21.8678 0.5
 -22.2292 21.8778 0.5
 -22.2063 21.8878 0.5
 -22.1833 21.8977 0.5
 -22.1605 21.9078 0.5
 -22.1376 21.9179 0.5
 -22.1147 21.928 0.5
 -22.0918 21.9379 0.5
 -22.0689 21.948 0.5
 -22.0455 21.9569 0.5
 -22.0223 21.9662 0.5
 -21.999 21.9752 0.5
 -21.9758 21.9846 0.5
 -21.9527 21.9942 0.5
 -21.929 22.0019 0.5
 -21.9051 22.0094 0.5
 -21.8812 22.0165 0.5
 -21.8572 22.0235 0.5
 -21.8331 22.0304 0.5
 -21.809 22.0371 0.5
 -21.7846 22.0423 0.5
 -21.7604 22.0485 0.5
 -21.7364 22.0556 0.5
 -21.7124 22.0627 0.5
 -21.6884 22.0696 0.5
 -21.6644 22.0766 0.5
 -21.6404 22.0835 0.5
 -21.6163 22.0904 0.5
 -21.5923 22.0973 0.5
 -21.5683 22.1042 0.5
 -21.5445 22.1119 0.5
 -21.5208 22.12 0.5
 -21.4972 22.1283 0.5
 -21.4737 22.1367 0.5
 -21.4502 22.1453 0.5
 -21.427 22.1544 0.5
 -21.4037 22.1636 0.5
 -21.3805 22.1729 0.5
 -21.3572 22.182 0.5
 -21.3338 22.1909 0.5
 -21.3104 22.1995 0.5
 -21.2857 22.2036 0.5
 -21.2611 22.2078 0.5
 -21.2364 22.2118 0.5
 -21.2117 22.2159 0.5
 -21.187 22.2199 0.5
 -21.1624 22.2238 0.5
 -21.1377 22.2278 0.5
 -21.113 22.2317 0.5
 -21.0883 22.2356 0.5
